305	"Ralstonia solanacearum"	305	6633
394	"Sinorhizobium fredii NGR234"	394	6891900
813	"Chlamydia trachomatis"	813	9406968
882	"Desulfovibrio vulgaris str. Hildenborough"	882	3773159
883	"Desulfovibrio vulgaris str. 'Miyazaki F'"	883	4040304
1140	"Synechococcus elongatus PCC 7942"	1140	2742269
1148	"Synechocystis sp. PCC 6803"	1148	11467428
1311	"Streptococcus agalactiae"	1311	1838867
1511	"[Clostridium] sticklandii"	1511	2715461
1639	"Listeria monocytogenes"	1639	30012931
2110	"Mycoplasma agalactiae"	2110	1006702
2762	"Cyanophora paradoxa"	2762	187156
2769	"Chondrus crispus"	2769	116470256
2771	"Cyanidium caldarium"	2771	164921
2775	"Gracilaria chilensis"	2775	11157
2782	"Gracilariopsis lemaneiformis"	2782	4293
2785	"Pyropia tenera"	2785	44088
2786	"Porphyra umbilicalis"	2786	29123
2787	"Porphyra purpurea"	2787	227781
2788	"Pyropia yezoensis"	2788	233640
2829	"Heterosigma akashiwo"	2829	198060
2832	"Pavlova lutheri"	2832	95281
2839	"Odontella sinensis"	2839	119704
2850	"Phaeodactylum tricornutum"	2850	194725
2872	"Costaria costata"	2872	37461
2876	"Dictyota dichotoma"	2876	31617
2880	"Ectocarpus siliculosus"	2880	139954
2885	"Pylaiella littoralis"	2885	58507
2898	"Cryptomonas paramecium"	2898	970758
2903	"Emiliania huxleyi"	2903	134322
2986	"Ochromonas danica"	2986	41035
3037	"Euglena longa"	3037	73345
3039	"Euglena gracilis"	3039	143171
3040	"Euglena viridis"	3040	91616
4770	"Saprolegnia ferax"	4770	46930
4787	"Phytophthora infestans"	4787	37957
4896	"Schizosaccharomyces pombe"	4896	19431
4950	"Torulaspora delbrueckii"	4950	9220678
4952	"Yarrowia lipolytica"	4952	47916
4959	"Debaryomyces hansenii"	4959	29462
5061	"Aspergillus niger"	5061	31103
5062	"Aspergillus oryzae"	5062	3043
5141	"Neurospora crassa"	5141	3581
5145	"Podospora anserina"	5145	100314
5270	"Ustilago maydis"	5270	56814
5518	"Fusarium graminearum"	5518	95676
5661	"Leishmania donovani"	5661	47245642
5689	"Leishmania tarentolae"	5689	20992
5749	"Nannochloropsis salina"	5749	156789
5755	"Acanthamoeba castellanii"	5755	41591
5762	"Naegleria gruberi"	5762	63971
5763	"Naegleria fowleri"	5763	49531
5778	"Vermamoeba vermiformis"	5778	51645
5786	"Dictyostelium purpureum"	5786	51514218
5787	"Dictyostelium giganteum"	5787	4481
5791	"Physarum polycephalum"	5791	77365
5821	"Plasmodium berghei"	5821	5957
5823	"Plasmodium berghei ANKA"	5823	26153503
5833	"Plasmodium falciparum"	5833	5967
5849	"Plasmodium gallinaceum"	5849	6003
5850	"Plasmodium knowlesi"	5850	5957
5851	"Plasmodium knowlesi strain H"	5851	34593539
5854	"Plasmodium reichenowi"	5854	5966
5857	"Plasmodium fragile"	5857	5977
5859	"Plasmodium simium"	5859	5990
5868	"Babesia microti"	5868	11109
5872	"Babesia equi"	5872	19772530
5875	"Theileria parva"	5875	5895
5885	"Paramecium caudatum"	5885	43660
5889	"Paramecium aurelia"	5889	40469
5901	"Tetrahymena malaccensis"	5901	47691
5905	"Tetrahymena paravorax"	5905	47496
5907	"Tetrahymena pigmentosa"	5907	46990
5908	"Tetrahymena pyriformis"	5908	47296
5911	"Tetrahymena thermophila"	5911	152354523
5932	"Ichthyophthirius multifiliis"	5932	59512964
10243	"Cowpox virus"	10243	224499
10245	"Vaccinia virus"	10245	194711
10255	"Variola virus"	10255	185578
10258	"Orf virus"	10258	139962
10261	"Fowlpox virus"	10261	288539
10266	"Sheeppox virus"	10266	149955
10271	"Rabbit fibroma virus"	10271	159857
10273	"Myxoma virus"	10273	161773
10276	"Swinepox virus"	10276	146454
10280	"Molluscum contagiosum virus subtype 1"	10280	190289
10298	"Human herpesvirus 1"	10298	152261
10310	"Human herpesvirus 2"	10310	154746
10317	"Cercopithecine herpesvirus 2"	10317	150715
10320	"Bovine herpesvirus 1"	10320	135301
10325	"Macacine herpesvirus 1"	10325	156789
10326	"Equid herpesvirus 1"	10326	150224
10331	"Equid herpesvirus 4"	10331	145597
10334	"Felid herpesvirus 1"	10334	135797
10335	"Human herpesvirus 3"	10335	124884
10345	"Suid herpesvirus 1"	10345	143461
10359	"Human herpesvirus 5"	10359	235646
10366	"Murid herpesvirus 1"	10366	230278
10372	"Human herpesvirus 7"	10372	153080
10376	"Human herpesvirus 4"	10376	171823
10381	"Saimiriine herpesvirus 2"	10381	112930
10385	"Bovine herpesvirus 4"	10385	108873
10386	"Gallid herpesvirus 1"	10386	148687
10390	"Gallid herpesvirus 2"	10390	177874
10397	"Tupaiid herpesvirus 1"	10397	195859
10398	"Ovine herpesvirus 2"	10398	135135
10401	"Ictalurid herpesvirus 1"	10401	134226
10406	"Ground squirrel hepatitis virus"	10406	3311
10407	"Hepatitis B virus"	10407	3215
10449	"Lymantria dispar multiple nucleopolyhedrovirus"	10449	161046
10454	"Spodoptera exigua multiple nucleopolyhedrovirus"	10454	135611
10455	"Spodoptera frugiperda multiple nucleopolyhedrovirus"	10455	131331
10464	"Agrotis segetum granulovirus"	10464	131680
10468	"Helicoverpa zea single nucleopolyhedrovirus"	10468	130869
10484	"Campoletis sonorensis ichnovirus"	10484	246734
10493	"Frog virus 3"	10493	105903
10497	"African swine fever virus"	10497	170101
10506	"Paramecium bursaria Chlorella virus 1"	10506	330611
10537	"Canine adenovirus A"	10537	30536
10561	"Xipapillomavirus 1"	10561	7276
10564	"Deltapapillomavirus 2"	10564	8374
10565	"Deltapapillomavirus 1"	10565	8095
10567	"Iotapapillomavirus 1"	10567	7687
10568	"Micromys minutus papillomavirus 1"	10568	7393
10570	"Alphapapillomavirus 12"	10570	8028
10589	"Human papillomavirus type 41"	10589	7614
10600	"Human papillomavirus type 6b"	10600	7902
10616	"Human papillomavirus type 49"	10616	7560
10617	"Human papillomavirus type 4"	10617	7353
10620	"Human papillomavirus type 7"	10620	8027
10621	"Human papillomavirus type 9"	10621	7434
10623	"Kappapapillomavirus 2"	10623	7868
10626	"Hamster polyomavirus"	10626	5366
10627	"Bovine polyomavirus"	10627	4697
10629	"BK polyomavirus"	10629	5153
10632	"JC polyomavirus"	10632	5130
10633	"Simian virus 40"	10633	5243
10634	"Murine polyomavirus"	10634	5297
10640	"Carnation etched ring virus"	10640	7932
10641	"Cauliflower mosaic virus"	10641	8024
10649	"Figwort mosaic virus"	10649	7743
10651	"Soybean chlorotic mottle virus"	10651	8178
10653	"Commelina yellow mottle virus"	10653	7489
10654	"Rice tungro bacilliform virus"	10654	8002
